id,area,relativeArea,perimeter,compactness,surfaceType,nx,ny,nz,centerZ,meanCurvature,radius,numWires,numEdges,neighbors,edge_types,label
638,0.976028,0.0121635,8.5505,5.96088,0,-1,-0,6.93889e-16,2.86737e-17,0,0,1,4,"","",1
639,0.00133291,1.66112e-05,0.172525,1.77702,6,-0.797661,0,0.603106,1.12943,8.56287,0,1,4,"","",1
640,0.0118317,0.000147449,0.385765,1.0009,0,-0,1,0,1.21335,0,0,1,4,"","",1
641,0.00204165,2.54436e-05,0.242814,2.29804,0,1,0,0,1.50953,0,0,1,4,"","",1
642,0.0107363,0.000133799,1.0726,8.52733,0,-0,1,-0,1.53245,0,0,1,12,"","",1
643,0.00135167,1.68449e-05,0.174385,1.79035,6,0.810895,0,0.585191,1.12975,8.75785,0,1,4,"","",1
644,0.0014795,1.8438e-05,0.187063,1.88213,0,0,0,1,1.11688,0,0,1,4,"","",1
645,0.10946,0.00136412,3.00932,6.58376,4,1.46246e-13,0.707107,0.707107,1.71413,-8.28397,0.0504157,1,4,"","",1
646,0.00249333,3.10725e-05,0.287609,2.64008,6,-0.523729,-0,-0.851885,1.20257,5.60281,0,1,4,"","",1
647,0.000847847,1.05661e-05,0.124418,1.45292,6,0.0474864,0,-0.998872,1.21462,0.622077,0,1,4,"","",1
648,0.00145579,1.81425e-05,0.184712,1.865,6,0.782356,0,-0.622831,1.1905,8.91431,0,1,4,"","",1
649,0.00111772,1.39294e-05,0.151183,1.62729,6,0.800949,0,0.598733,1.13537,14.6478,0,1,4,"","",1
650,0.00242791,3.02573e-05,0.281121,2.59027,0,-1,0,0,1.51911,0,0,1,4,"","",1
651,0.00169287,2.1097e-05,0.208223,2.0381,6,-0.908089,-0,-0.418778,1.30518,-5.65896,0,1,4,"","",1
652,35.5085,0.442517,46.8999,4.9295,0,-0,1,0,-0.0123086,0,0,24,153,"","",1
653,0.976028,0.0121635,8.5505,5.96088,0,1,-0,-0,-3.64292e-17,0,0,1,4,"","",1
654,2.19606,0.027368,18.6336,12.5817,0,-0,-0,1,2.01663,0,0,1,4,"","",1
655,35.9623,0.448172,33.8187,2.53079,0,0,-1,-0,-0.00644796,0,0,9,14,"","",1
656,0.00165791,2.06614e-05,0.204757,2.01236,6,-0.799021,-0,-0.601303,1.12276,-6.70829,0,1,4,"","",1
657,0.00304128,3.79013e-05,0.341953,3.05961,6,-0.514834,0,0.85729,1.21203,-4.40934,0,1,4,"","",1
658,0.00165458,2.06198e-05,0.204426,2.00991,6,0.792734,0,-0.609568,1.12274,-6.47165,0,1,4,"","",1
659,0.000344908,4.29835e-06,0.074539,1.2819,0,-0.669931,0,-0.742423,1.10082,0,0,1,4,"","",1
660,0.000346833,4.32233e-06,0.0747299,1.28132,0,0.666213,0,-0.745761,1.10082,0,0,1,4,"","",1
661,0.00165791,2.06614e-05,0.204757,2.01236,6,-0.799021,-0,-0.601303,1.32387,-6.70829,0,1,4,"","",1
662,0.242747,0.00302519,2.91733,2.79001,1,-2.06823e-13,-0,1,1.71413,-2.47939,0.201663,1,5,"","",1
663,0.242747,0.00302519,2.91733,2.79001,1,-2.06823e-13,-0,1,1.71413,-2.47939,0.201663,1,5,"","",1
664,0.242747,0.00302519,2.91733,2.79001,1,-2.06823e-13,-0,1,-1.71413,-2.47939,0.201663,1,4,"","",1
665,0.242747,0.00302519,2.91733,2.79001,1,-2.06823e-13,-0,1,-1.71413,-2.47939,0.201663,1,4,"","",1
666,0.153314,0.00191065,1.75107,1.59154,1,-2.06823e-13,-0,1,1.81496,-4.95878,0.100831,1,4,"","",1
667,0.153314,0.00191065,1.75107,1.59154,1,-2.06823e-13,-0,1,1.81496,-4.95878,0.100831,1,4,"","",1
668,0.00113722,1.41723e-05,0.153117,1.64056,0,0,0,-1,1.21538,0,0,1,4,"","",1
669,0.000386258,4.81365e-06,0.0786398,1.27408,0,1,0,0,1.22496,0,0,1,4,"","",1
670,0.10946,0.00136412,3.00932,6.58376,4,1.46246e-13,0.707107,0.707107,-1.71413,-8.28397,0.0504157,1,4,"","",1
671,0.10946,0.00136412,3.00932,6.58376,4,1.46246e-13,0.707107,0.707107,1.71413,-8.28397,0.0504157,1,4,"","",1
672,0.000718255,8.9511e-06,0.111566,1.37903,6,0.0465702,0,0.998915,1.11743,2.53271,0,1,4,"","",1
673,0.000441437,5.50132e-06,0.0841123,1.27538,0,0,0,-1,1.45891,0,0,1,4,"","",1
674,0.00430401,5.36379e-05,0.467185,4.03548,0,0,0,1,1.5793,0,0,1,4,"","",1
675,4.88429,0.0929276,42.5345,29.4762,0,0,0,-1,-0.164045,0,0,2,2,"","",1
676,4.65922,0.0886455,42.6032,31,0,0,0,1,0.71086,0,0,2,2,"","",1
677,7.86984,0.14973,41.9925,17.8306,1,1,-2.06823e-13,-0,0.519979,-0.152398,3.28089,1,4,"","",1
678,1.3662,0.0259931,41.6412,101,0,0,0,-1,0.329097,0,0,2,2,"","",2
679,1.37973,0.0262505,42.1847,102.638,1,1,-2.06823e-13,-0,0.296288,-0.149409,3.34651,1,4,"","",1
680,19.6061,0.373021,42.1935,7.22588,1,1,-2.06823e-13,-0,-0.22369,-0.156124,3.20258,1,4,"","",1
681,10.085,0.191875,42.8785,14.5076,1,-1,2.06823e-13,0,-0.470261,-0.149899,3.33558,1,4,"","",1
682,1.36169,0.0259074,41.5038,100.667,0,0,0,1,-0.229663,0,0,2,2,"","",2
683,1.34817,0.02565,41.2227,100.304,1,-1,2.06823e-13,0,-0.196854,-0.152907,3.26996,1,4,"","",1
684,8.23935,0.0741492,18.1406,3.17835,1,1,-8.72864e-14,-0,1.02324,-0.390438,1.28061,1,4,"","",1
685,3.59915,0.0323902,12.4639,3.43478,0,0,0,1,0.511241,0,0,2,2,"","",1
686,1.05974,0.00953703,16.8815,21.4,0,0,0,1,1.53523,0,0,2,2,"","",1
687,9.04047,0.0813589,12.9281,1.47119,1,1,-8.72864e-14,-0,-0.511994,-0.711155,0.703082,1,4,"","",1
