graph_id,model_name,candidate_id,host_face_id,local_wire_index,hostFaceArea,hostFaceRelativeArea,hostFacePerimeter,hostInnerWireCount,hostNeighborFaceCount,wireLength,wireLengthRatio,estimatedHoleRadius,estimatedHoleArea,wireCenterX,wireCenterY,wireCenterZ,adjacentFaceCount,adjacentCylinderCount,adjacentSmallCylinderCount,minAdjacentCylinderRadius,maxAdjacentCylinderRadius,concaveEdgeRatio,label
0,"82.step",318,1315,0,93.4063,6.73833e-05,67.2592,2,12,13.6652,0.203172,2.17488,14.8601,-13.3156,43.5171,85.09,12,0,0,0,0,0.666667,1
0,"82.step",319,1315,1,93.4063,6.73833e-05,67.2592,2,12,13.6652,0.203172,2.17488,14.8601,-8.0324,43.5171,85.09,12,0,0,0,0,0.666667,1
0,"82.step",320,1316,0,284.802,0.000205456,90.1192,1,8,13.6652,0.151635,2.17488,14.8601,-17.7352,31.5664,85.09,8,0,0,0,0,0.5,1
0,"82.step",321,1317,0,283.834,0.000204758,90.424,1,8,13.97,0.154494,2.22339,15.5304,-1.8348,31.6426,85.09,8,0,0,0,0,0.5,1
0,"82.step",322,1342,0,438.331,0.000316212,109.082,2,10,9.73517,0.0892467,1.5494,7.54183,14.992,17.3551,67.0814,10,2,2,1.5494,1.5494,0,1
0,"82.step",323,1342,1,438.331,0.000316212,109.082,2,10,9.73517,0.0892467,1.5494,7.54183,4.578,39.5801,67.0814,10,2,2,1.5494,1.5494,0,1
0,"82.step",324,1351,0,93.4063,6.73833e-05,67.2592,2,12,13.6652,0.203172,2.17488,14.8601,13.3156,43.5171,72.2376,12,0,0,0,0,0.666667,1
0,"82.step",325,1351,1,93.4063,6.73833e-05,67.2592,2,12,13.6652,0.203172,2.17488,14.8601,8.0324,43.5171,72.2376,12,0,0,0,0,0.666667,1
0,"82.step",326,1352,0,284.802,0.000205456,90.1192,1,8,13.6652,0.151635,2.17488,14.8601,17.7352,31.5664,72.2376,8,0,0,0,0,0.5,1
0,"82.step",327,1353,0,283.834,0.000204758,90.424,1,8,13.97,0.154494,2.22339,15.5304,1.8348,31.6426,72.2376,8,0,0,0,0,0.5,1
