face_id,surface,area,score
833,bspline,94.832187,474.160937
167,bspline,33.239929,166.199644
834,plane,26.092177,26.092177
166,plane,26.076723,26.076723
101,plane,21.004617,21.004617
47,plane,21.004610,21.004610
74,plane,20.912327,20.912327
19,plane,20.912320,20.912320
97,plane,19.233763,19.233763
43,plane,19.233763,19.233763
22,cylinder,4.355995,17.423981
77,cylinder,4.355995,17.423981
