model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
91- 737-800 stp 3dm_737_wing_rivets.step,28,,,,paired_face,2,F300 F874,0.590884 0.157726,-4.336587 25.018148 -0.856257;-4.327718 25.018184 -0.853085,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,29,,,,paired_face,2,F280 F875,0.589620 0.157411,-4.304741 8.045888 -0.856403;-4.296183 8.045868 -0.853379,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,30,,,,paired_face,2,F264 F876,0.589538 0.157384,-4.298821 11.962553 -0.856426;-4.290328 11.962530 -0.853421,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,31,,,,paired_face,2,F364 F877,0.589411 0.157340,-4.298411 15.879223 -0.856461;-4.289992 15.879200 -0.853485,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,32,,,,paired_face,2,F284 F878,0.589438 0.157351,-4.295947 14.573666 -0.856453;-4.287506 14.573643 -0.853471,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,33,,,,paired_face,2,F268 F879,0.589625 0.157413,-4.305148 6.740332 -0.856401;-4.296588 6.740312 -0.853376,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,34,,,,paired_face,2,F500 F880,0.589367 0.157489,4.298406 15.879244 -0.856435;4.290000 15.879241 -0.853500,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,35,,,,paired_face,2,F432 F881,0.589393 0.157497,4.295942 14.573687 -0.856427;4.287514 14.573683 -0.853484,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,36,,,,paired_face,2,F428 F882,0.589574 0.157548,4.304736 8.045909 -0.856376;4.296190 8.045909 -0.853389,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,37,,,,paired_face,2,F412 F883,0.589493 0.157526,4.298816 11.962574 -0.856399;4.290336 11.962568 -0.853433,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,38,,,,paired_face,2,F240 F884,0.589565 0.157543,4.304089 9.351465 -0.856378;4.295543 9.351467 -0.853393,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,39,,,,paired_face,2,F416 F885,0.589579 0.157550,4.305142 6.740353 -0.856375;4.296595 6.740353 -0.853386,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,40,,,,paired_face,2,F464 F886,0.589462 0.157515,4.330626 19.795917 -0.856429;4.322277 19.795923 -0.853485,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,41,,,,paired_face,2,F460 F887,0.589387 0.157494,4.314487 18.490358 -0.856438;4.306117 18.490360 -0.853503,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,42,,,,paired_face,2,F256 F888,0.600108 0.160136,-3.880907 31.546005 -0.855707;-3.871949 31.546150 -0.852052,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,43,,,,paired_face,2,F472 F889,0.597366 0.159599,4.020548 30.240453 -0.855799;4.011621 30.240598 -0.852327,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,44,,,,paired_face,2,F388 F890,0.589699 0.157583,4.367702 22.407034 -0.856369;4.358911 22.407047 -0.853369,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,45,,,,paired_face,2,F420 F891,0.589583 0.157552,4.305388 5.579141 -0.856374;4.296840 5.579140 -0.853384,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,46,,,,paired_face,2,F436 F892,0.589587 0.157553,4.305671 3.320871 -0.856372;4.297122 3.320869 -0.853382,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,47,,,,paired_face,2,F496 F893,0.590105 0.157707,4.261599 -9.809938 -0.856232;4.252820 -9.809948 -0.853106,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,48,,,,paired_face,2,F516 F894,0.590016 0.157681,4.267087 -8.504381 -0.856256;4.258360 -8.504389 -0.853154,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,49,,,,paired_face,2,F476 F895,0.589932 0.157656,4.273065 -7.198825 -0.856280;4.264374 -7.198833 -0.853199,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,50,,,,paired_face,2,F484 F896,0.589852 0.157633,4.279560 -5.893269 -0.856302;4.270905 -5.893277 -0.853243,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,51,,,,paired_face,2,F228 F897,0.589775 0.157610,4.286568 -4.587713 -0.856323;4.277947 -4.587720 -0.853284,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,52,,,,paired_face,2,F312 F898,0.589702 0.157589,4.294084 -3.282157 -0.856344;4.285495 -3.282164 -0.853324,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,53,,,,paired_face,2,F184 F899,0.590364 0.157778,4.243227 -13.726605 -0.856154;4.234326 -13.726609 -0.852985,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,54,,,,paired_face,2,F512 F900,0.590193 0.157734,4.255958 -11.115494 -0.856206;4.247138 -11.115503 -0.853057,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,55,,,,paired_face,2,F328 F901,0.593355 0.158356,-4.223795 27.629287 -0.856054;-4.214876 27.629346 -0.852696,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,56,,,,paired_face,2,F480 F902,0.590444 0.157802,4.236028 -15.032161 -0.856128;4.227080 -15.032165 -0.852937,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,57,,,,paired_face,2,F308 F903,0.588461 0.157116,-3.882031 -26.782150 -0.857272;-3.873408 -26.782123 -0.855042,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,58,,,,paired_face,2,F384 F904,0.595126 0.159006,4.134206 28.934881 -0.855917;4.125294 28.934999 -0.852554,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,59,,,,paired_face,2,F224 F905,0.590118 0.157694,4.361966 23.712602 -0.856311;4.353142 23.712632 -0.853256,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,60,,,,paired_face,2,F448 F906,0.590843 0.157886,4.336582 25.018170 -0.856234;4.327728 25.018219 -0.853108,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,61,,,,paired_face,2,F376 F907,0.590237 0.157585,-4.255963 -11.115515 -0.856232;-4.247130 -11.115543 -0.853044,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,62,,,,paired_face,2,F352 F908,0.590326 0.157630,-4.249856 -12.421070 -0.856206;-4.240989 -12.421093 -0.853032,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,63,,,,paired_face,2,F356 F909,0.590149 0.157552,-4.261604 -9.809959 -0.856258;-4.252811 -9.809990 -0.853090,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,64,,,,paired_face,2,F180 F910,0.589611 0.157408,-4.304094 9.351444 -0.856405;-4.295536 9.351424 -0.853383,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,65,,,,paired_face,2,F188 F911,0.589747 0.157444,-4.294089 -3.282178 -0.856370;-4.285487 -3.282204 -0.853312,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,66,,,,paired_face,2,F248 F912,0.589633 0.157416,-4.305762 1.940048 -0.856399;-4.297200 1.940029 -0.853372,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,67,,,,paired_face,2,F380 F913,0.590061 0.157528,-4.267092 -8.504403 -0.856282;-4.258351 -8.504432 -0.853139,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,68,,,,paired_face,2,F336 F914,0.589977 0.157505,-4.273070 -7.198847 -0.856306;-4.264365 -7.198875 -0.853185,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,69,,,,paired_face,2,F396 F915,0.589587 0.157554,4.305756 1.940070 -0.856372;4.297207 1.940068 -0.853382,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,70,,,,paired_face,2,F192 F916,0.589820 0.157463,-4.286573 -4.587734 -0.856350;-4.277939 -4.587762 -0.853272,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,71,,,,paired_face,2,F208 F917,0.590716 0.157746,-4.155421 -22.865501 -0.856111;-4.145815 -22.865502 -0.852856,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,72,,,,paired_face,2,F508 F918,0.589361 0.157487,4.304267 17.184801 -0.856439;4.295880 17.184800 -0.853507,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,73,,,,paired_face,2,F288 F919,0.589632 0.157415,-4.305676 3.320849 -0.856399;-4.297115 3.320830 -0.853372,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,74,,,,paired_face,2,F216 F920,0.590410 0.157654,-4.243232 -13.726626 -0.856181;-4.234321 -13.726649 -0.852984,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,75,,,,paired_face,2,F348 F921,0.589678 0.157426,-4.301374 -1.976622 -0.856388;-4.292742 -1.976646 -0.853349,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,76,,,,paired_face,2,F292 F930,0.590706 0.157742,-4.210109 -18.948849 -0.856076;-4.201000 -18.948873 -0.852815,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,77,,,,paired_face,2,F368 F949,0.589612 0.157373,-4.354286 21.101446 -0.856434;-4.345516 21.101445 -0.853417,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,78,,,,paired_face,2,F492 F950,0.590280 0.157753,4.249850 -12.421049 -0.856179;4.240994 -12.421053 -0.853034,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,79,,,,paired_face,2,F344 F951,0.589897 0.157483,-4.279565 -5.893291 -0.856328;-4.270897 -5.893319 -0.853229,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,80,,,,paired_face,2,F404 F952,0.600072 0.160315,3.880900 31.546027 -0.855688;3.871965 31.546199 -0.852112,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,81,,,,paired_face,2,F360 F953,0.589593 0.157556,4.305257 -0.671043 -0.856371;4.296653 -0.671047 -0.853379,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,82,,,,paired_face,2,F452 F958,0.589296 0.157493,4.001700 -25.476571 -0.856735;3.992632 -25.476524 -0.854072,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,83,,,,paired_face,2,F444 F959,0.591900 0.158160,4.290839 26.323739 -0.856140;4.281966 26.323807 -0.852956,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,84,,,,paired_face,2,F204 F966,0.589639 0.157417,-4.305262 -0.671064 -0.856398;-4.296646 -0.671085 -0.853368,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,85,,,,paired_face,2,F244 F1011,0.589634 0.157416,-4.305797 0.634492 -0.856399;-4.297235 0.634474 -0.853372,,6 6,paired_face
91- 737-800 stp 3dm_737_wing_rivets.step,86,,,,paired_face,2,F504 F1012,0.589568 0.157564,4.354282 21.101468 -0.856409;4.345526 21.101430 -0.853437,,6 6,paired_face
