model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,92,967,34.992758,-43.625397 25.786884 -261.908099,1,4,F968 F972 F973 F976,0.466651 1.090720 0.465871 1.062735,-44.035295 25.800450 -265.250711;-42.489464 29.595118 -261.908102;-44.034681 25.803862 -258.565502;-45.338092 22.016118 -261.908025,0.088189,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,93,985,34.992247,-43.626245 25.786901 -248.408103,1,4,F986 F990 F991 F994,0.466603 1.090720 0.465869 1.062780,-44.036091 25.800689 -251.750715;-42.490463 29.595133 -248.408105;-44.035504 25.803877 -245.065505;-45.338763 22.016136 -248.408030,0.088190,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,104,1099,35.049941,-43.672512 25.784458 -194.404734,1,4,F1100 F1104 F1105 F1108,0.466204 1.091403 0.467156 1.064151,-44.100588 25.796181 -197.747261;-42.554832 29.594102 -194.406881;-44.131989 25.802304 -191.064578;-45.434078 22.014589 -194.405719,0.088129,6 6 6 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,105,1117,35.117925,-43.613655 25.785374 -180.914439,1,4,F1118 F1122 F1123 F1126,0.467076 1.091076 0.466214 1.063415,-44.115349 25.793556 -184.254305;-42.497298 29.591500 -180.914329;-44.016938 25.792587 -177.575033;-45.398781 22.011108 -180.913546,0.087926,6 6 6 6,38.241
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,106,1135,35.206827,-43.185995 25.815256 -167.430279,1,4,F1136 F1140 F1141 F1144,0.469783 1.093605 0.467241 1.065913,-43.808086 25.799049 -170.767732;-42.103351 29.588991 -167.428396;-43.480332 25.790477 -164.090917;-44.954666 22.008994 -167.428328,0.087953,6 6 6 6,38.241
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,107,1153,35.343317,-42.228318 25.797304 -153.949647,1,4,F1154 F1158 F1159 F1162,0.466344 1.094491 0.470178 1.066907,-42.985587 25.798330 -157.285312;-41.180800 29.588863 -153.945830;-42.352284 25.797691 -150.609253;-43.934988 22.007817 -153.946547,0.087652,6 6 6 6,38.247
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,108,1171,35.524133,-40.668096 25.805389 -140.469746,1,4,F1172 F1176 F1177 F1180,0.468256 1.097357 0.467996 1.069301,-41.556878 25.798287 -143.803696;-39.662088 29.588822 -140.463645;-40.635110 25.805182 -137.127024;-42.317195 22.007884 -140.464945,0.087347,6 6 6 6,38.253
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,145,1350,34.993225,43.623530 25.786846 -288.908107,1,4,F1351 F1357 F1358 F1359,0.465630 1.090720 0.465906 1.063785,44.032264 25.805499 -285.565497;42.487279 29.595113 -288.908111;44.032366 25.803824 -292.250714;45.336191 22.017289 -288.908133,0.088190,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,146,1368,34.992653,43.624479 25.786866 -275.408107,1,4,F1369 F1375 F1376 F1377,0.465626 1.090719 0.465902 1.063783,44.033207 25.805515 -272.065498;42.488409 29.595129 -275.408111;44.033315 25.803841 -278.750715;45.336952 22.017308 -275.408133,0.088191,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,147,1386,34.992101,43.625396 25.786885 -261.908109,1,4,F1387 F1393 F1394 F1395,0.465621 1.090718 0.465897 1.063782,44.034108 25.805531 -258.565500;42.489496 29.595143 -261.908113;44.034241 25.803858 -265.250716;45.337684 22.017325 -261.908134,0.088192,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,148,1404,34.991590,43.626244 25.786902 -248.408112,1,4,F1405 F1411 F1412 F1413,0.465617 1.090718 0.465892 1.063781,44.034932 25.805544 -245.065503;42.490495 29.595156 -248.408116;44.035108 25.803874 -251.750719;45.338356 22.017341 -248.408137,0.088193,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,149,1422,34.991145,43.626986 25.786917 -234.908116,1,4,F1423 F1429 F1430 F1431,0.465614 1.090719 0.465888 1.063781,44.035640 25.805555 -231.565507;42.491362 29.595166 -234.908120;44.035877 25.803888 -238.250723;45.338938 22.017354 -234.908140,0.088194,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,150,1440,34.990786,43.627584 25.786929 -221.408121,1,4,F1441 F1447 F1448 F1449,0.465611 1.090722 0.465884 1.063782,44.036196 25.805563 -218.065513;42.492053 29.595174 -221.408126;44.036513 25.803899 -224.750729;45.339401 22.017364 -221.408145,0.088195,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,151,1458,34.993885,43.622585 25.786827 -302.408108,1,4,F1459 F1465 F1466 F1467,0.465633 1.090722 0.465779 1.063923,44.031316 25.805487 -299.065498;42.486150 29.595097 -302.408112;44.031224 25.804426 -305.750715;45.335360 22.017386 -302.408125,0.088188,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,152,1476,34.994429,43.621684 25.786808 -315.908110,1,4,F1477 F1483 F1484 F1485,0.465636 1.090723 0.465781 1.063924,44.030403 25.805469 -312.565500;42.485067 29.595081 -315.908114;44.030341 25.804409 -319.250717;45.334642 22.017367 -315.908127,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,153,1494,34.994924,43.620861 25.786791 -329.408113,1,4,F1495 F1501 F1502 F1503,0.465640 1.090728 0.465785 1.063929,44.029560 25.805452 -326.065504;42.484074 29.595066 -329.408117;44.029546 25.804395 -332.750720;45.333992 22.017349 -329.408129,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,155,1771,35.049305,43.672537 25.784398 -194.404734,1,4,F1772 F1778 F1779 F1780,0.467185 1.091523 0.466133 1.064068,44.135249 25.794644 -191.064577;42.555206 29.593189 -194.406879;44.100642 25.796052 -197.747261;45.433908 22.014183 -194.405783,0.088130,6 6 6 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,156,1789,35.117001,43.613689 25.785299 -180.914439,1,4,F1790 F1796 F1797 F1798,0.466101 1.091210 0.467037 1.063411,44.017134 25.792133 -177.575033;42.497432 29.590585 -180.914326;44.115423 25.793392 -184.254304;45.398888 22.011482 -180.913586,0.087928,6 6 6 6,38.241
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,157,1807,35.206488,43.186030 25.815170 -167.430279,1,4,F1808 F1814 F1815 F1816,0.467226 1.093681 0.469568 1.066112,43.480268 25.790629 -164.090917;42.110873 29.588929 -167.428400;43.808666 25.799248 -170.767732;44.948658 22.010130 -167.428402,0.087955,6 6 6 6,38.241
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,158,1825,35.341958,42.228363 25.797215 -153.949647,1,4,F1826 F1832 F1833 F1834,0.470106 1.094749 0.466113 1.066958,42.352248 25.797799 -150.609253;41.188683 29.588301 -153.945815;42.989185 25.790162 -157.285313;43.928954 22.008030 -153.946598,0.087656,6 6 6 6,38.247
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,159,1843,35.521892,40.668165 25.805252 -140.469746,1,4,F1844 F1850 F1851 F1852,0.467987 1.097489 0.468060 1.069365,40.637780 25.797697 -137.127027;39.662037 29.588385 -140.463615;41.557744 25.797829 -143.803695;42.317373 22.008385 -140.465003,0.087352,6 6 6 6,38.253
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,173,1907,34.996301,-43.619545 25.786762 -356.908115,1,4,F1908 F1912 F1913 F1916,0.466481 1.090741 0.466037 1.062840,-44.029242 25.801338 -360.250725;-42.482441 29.595026 -356.908114;-44.028781 25.802952 -353.565514;-45.333542 22.015442 -356.908074,0.088184,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,174,1925,34.997071,-43.618287 25.786735 -461.202202,1,4,F1926 F1930 F1931 F1934,0.465679 1.090770 0.465936 1.063805,-44.026840 25.805032 -464.544810;-42.480917 29.595013 -461.202197;-44.027277 25.803482 -457.859595;-45.331844 22.017340 -461.202201,0.088184,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,175,1943,34.996977,-43.618459 25.786739 -476.202204,1,4,F1944 F1948 F1949 F1952,0.465660 1.090770 0.465925 1.063832,-44.027025 25.805397 -479.544812;-42.481127 29.595016 -476.202199;-44.027424 25.803551 -472.859597;-45.332010 22.017285 -476.202201,0.088184,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,176,1961,34.996849,-43.618686 25.786743 -491.202206,1,4,F1962 F1966 F1967 F1970,0.465659 1.090770 0.465916 1.063841,-44.027263 25.805402 -494.544814;-42.481402 29.595021 -491.202200;-44.027630 25.803611 -487.859598;-45.332200 22.017290 -491.202201,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,177,1979,34.994665,-43.622231 25.777479 -383.095535,1,4,F1980 F1984 F1985 F1988,0.466322 1.090713 0.465888 1.063077,-44.031750 25.792737 -386.438144;-42.485614 29.585733 -383.095533;-44.031386 25.794462 -379.752932;-45.335476 22.006726 -383.095474,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,178,1997,35.033039,-43.558357 25.945127 -395.263552,1,4,F1998 F2002 F2003 F2006,0.466765 1.091449 0.466486 1.063609,-43.968060 25.960912 -398.606160;-42.409535 29.753659 -395.263549;-43.967747 25.961680 -391.920947;-45.284256 22.174069 -395.263518,0.088154,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,179,2015,34.994941,-43.621801 25.777469 -407.938569,1,4,F2016 F2020 F2021 F2024,0.466184 1.090722 0.465975 1.063164,-44.031144 25.793435 -411.281177;-42.485080 29.585728 -407.938565;-44.030889 25.793937 -404.595963;-45.335215 22.006427 -407.938537,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,180,2033,34.996693,-43.618957 25.786748 -506.202207,1,4,F2034 F2038 F2039 F2042,0.465658 1.090769 0.465909 1.063848,-44.027541 25.805407 -509.544815;-42.481727 29.595025 -506.202202;-44.027886 25.803660 -502.859599;-45.332424 22.017296 -506.202201,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,181,2051,34.996517,-43.619259 25.786754 -521.202207,1,4,F2052 F2056 F2057 F2060,0.465657 1.090768 0.465903 1.063851,-44.027848 25.805412 -524.544816;-42.482089 29.595030 -521.202202;-44.028177 25.803694 -517.859600;-45.332671 22.017303 -521.202202,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,182,2069,34.996327,-43.619581 25.786761 -536.202208,1,4,F2070 F2074 F2075 F2078,0.465656 1.090767 0.465909 1.063842,-44.028170 25.805418 -539.544816;-42.482472 29.595035 -536.202203;-44.028438 25.803712 -532.859600;-45.332930 22.017312 -536.202197,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,183,2087,34.996127,-43.619910 25.786768 -551.202207,1,4,F2088 F2092 F2093 F2096,0.465654 1.090766 0.465899 1.063850,-44.028497 25.805423 -554.544816;-42.482864 29.595041 -551.202202;-44.028824 25.803712 -547.859600;-45.333195 22.017316 -551.202202,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,184,2105,34.995925,-43.620234 25.786775 -566.202207,1,4,F2106 F2110 F2111 F2114,0.465652 1.090764 0.465901 1.063845,-44.028815 25.805429 -569.544815;-42.483250 29.595046 -566.202202;-44.029153 25.803695 -562.859599;-45.333451 22.017322 -566.202201,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,198,2128,34.994368,43.621801 25.777470 -407.938571,1,4,F2129 F2135 F2136 F2137,0.465629 1.090721 0.465901 1.063790,44.030344 25.796116 -404.595962;42.485110 29.585733 -407.938576;44.030768 25.794229 -411.281178;45.334685 22.008011 -407.938573,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,199,2146,34.995718,43.619544 25.786763 -356.908121,1,4,F2147 F2153 F2154 F2155,0.465647 1.090739 0.465790 1.063935,44.028189 25.805424 -353.565512;42.482471 29.595041 -356.908126;44.028294 25.804371 -360.250728;45.332911 22.017319 -356.908136,0.088185,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,200,2164,34.994104,43.622230 25.777479 -383.095539,1,4,F2165 F2171 F2172 F2173,0.465625 1.090713 0.465865 1.063817,44.030813 25.796127 -379.752931;42.485645 29.585743 -383.095544;44.031020 25.794461 -386.438146;45.335045 22.008030 -383.095553,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,201,2182,35.032434,43.558356 25.945128 -395.263555,1,4,F2183 F2189 F2190 F2191,0.466134 1.091449 0.466386 1.064342,43.967175 25.963971 -391.920946;42.409552 29.753665 -395.263559;43.967556 25.962140 -398.606162;45.283693 22.175730 -395.263558,0.088156,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,202,2200,34.995391,43.620234 25.786774 -566.202210,1,4,F2201 F2207 F2208 F2209,0.466316 1.090765 0.466013 1.063069,44.029719 25.802222 -562.859601;42.483220 29.595039 -566.202213;44.029378 25.803146 -569.544814;45.334017 22.015635 -566.202246,0.088188,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,203,2218,34.996529,43.618287 25.786735 -461.202204,1,4,F2219 F2225 F2226 F2227,0.466198 1.090770 0.466004 1.063222,44.027623 25.802800 -457.859596;42.480888 29.595009 -461.202208;44.027383 25.803227 -464.544809;45.332390 22.015712 -461.202235,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,204,2236,34.996437,43.618459 25.786738 -476.202206,1,4,F2237 F2243 F2244 F2245,0.466252 1.090771 0.466011 1.063157,44.027862 25.802539 -472.859598;42.481098 29.595010 -476.202210;44.027576 25.803182 -479.544811;45.332553 22.015667 -476.202240,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,205,2254,34.996311,43.618686 25.786742 -491.202208,1,4,F2255 F2261 F2262 F2263,0.466291 1.090771 0.466016 1.063111,44.028137 25.802352 -487.859600;42.481372 29.595013 -491.202211;44.027820 25.803150 -494.544813;45.332756 22.015635 -491.202243,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,206,2272,34.996158,43.618957 25.786747 -506.202210,1,4,F2273 F2279 F2280 F2281,0.466316 1.090770 0.466019 1.063079,44.028441 25.802225 -502.859601;42.481697 29.595017 -506.202213;44.028103 25.803129 -509.544814;45.332988 22.015615 -506.202245,0.088186,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,207,2290,34.995984,43.619259 25.786753 -521.202211,1,4,F2291 F2297 F2298 F2299,0.466331 1.090769 0.466020 1.063060,44.028762 25.802151 -517.859602;42.482059 29.595022 -521.202213;44.028412 25.803118 -524.544815;45.333241 22.015605 -521.202247,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,208,2308,34.995794,43.619581 25.786760 -536.202211,1,4,F2309 F2315 F2316 F2317,0.466336 1.090768 0.466020 1.063052,44.029090 25.802127 -532.859602;42.482442 29.595027 -536.202214;44.028735 25.803118 -539.544815;45.333504 22.015605 -536.202247,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,209,2326,34.995594,43.619910 25.786767 -551.202211,1,4,F2327 F2333 F2334 F2335,0.466331 1.090767 0.466017 1.063055,44.029413 25.802150 -547.859602;42.482834 29.595033 -551.202213;44.029061 25.803127 -554.544815;45.333766 22.015615 -551.202247,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,212,2414,34.928170,43.731669 25.484137 -421.155018,1,4,F2415 F2421 F2422 F2423,0.464847 1.089458 0.465037 1.062651,44.139998 25.501167 -417.812410;42.616220 29.291929 -421.155024;44.140303 25.500809 -424.497625;45.423189 21.713276 -421.155056,0.088238,0 6 0 6,38.235
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,214,2468,35.030860,43.561046 25.937279 -446.126531,1,4,F2469 F2475 F2476 F2477,0.466583 1.091425 0.466417 1.063801,43.970527 25.953867 -442.783923;42.412712 29.745801 -446.126535;43.970373 25.953971 -449.469137;45.286378 22.166287 -446.126558,0.088157,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,216,2560,35.031429,-43.561047 25.937279 -446.126530,1,4,F2561 F2565 F2566 F2569,0.466329 1.091425 0.466422 1.064052,-43.970036 25.954746 -449.469138;-42.412729 29.745803 -446.126525;-43.970309 25.954091 -442.783923;-45.286293 22.166539 -446.126511,0.088156,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,218,2615,34.928614,-43.731670 25.484137 -421.155017,1,4,F2616 F2620 F2621 F2624,0.465159 1.089458 0.465035 1.062445,-44.140076 25.500177 -424.497624;-42.616201 29.291927 -421.155011;-44.140337 25.500809 -417.812410;-45.423207 21.713270 -421.154970,0.088240,0 6 0 6,38.235
