model_name,candidate_id,host_face_id,host_area,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,relative_area,candidate_surface_types,heuristic_score
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,44,2556,212.122869,1,4,F2663 F2664 F2665 F2666,5.270409 3.612522 3.612501 5.270409,0.083753,0 0 0 0,38.325
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,45,2561,212.122869,1,4,F2638 F2639 F2640 F2641,5.270409 3.612501 3.612522 5.270409,0.083753,0 0 0 0,38.325
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,42,2538,211.991689,1,4,F2663 F2664 F2665 F2666,5.270409 3.612522 3.612501 5.270409,0.083804,0 0 0 0,38.324
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,43,2552,211.991689,1,4,F2638 F2639 F2640 F2641,5.270409 3.612501 3.612522 5.270409,0.083804,0 0 0 0,38.324
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,324,7793,17.498631,1,4,F7776 F7777 F7778 F7779,0.455503 0.667815 0.421882 0.667814,0.126468,1 4 1 4,37.471
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,8,878,124.221679,1,4,F929 F930 F931 F932,4.535043 4.144011 4.543854 4.145880,0.139821,0 0 0 0,37.204
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,10,912,124.221679,1,4,F923 F924 F925 F933,4.144011 4.543854 4.145880 4.535043,0.139821,0 0 0 0,37.204
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,7,872,123.129018,1,4,F929 F930 F931 F932,4.535043 4.144011 4.543854 4.145880,0.141062,0 0 0 0,37.179
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,9,906,123.129005,1,4,F923 F924 F925 F933,4.144011 4.543854 4.145880 4.535043,0.141062,0 0 0 0,37.179
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,11,995,192.283880,1,4,F994 F996 F998 F1001,5.145700 8.574953 9.696382 5.000061,0.147787,0 0 0 0,37.044
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,13,1020,192.286040,1,4,F1019 F1021 F1023 F1026,9.696436 5.000177 5.145818 8.574973,0.147787,0 0 0 0,37.044
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,12,997,188.137682,1,4,F994 F996 F998 F1001,5.145700 8.574953 9.696382 5.000061,0.151044,0 0 0 0,36.979
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,14,1022,188.137616,1,4,F1019 F1021 F1023 F1026,9.696436 5.000177 5.145818 8.574973,0.151046,0 0 0 0,36.979
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,47,2929,56.765525,1,3,F2973 F2974 F2975,0.092278 0.136218 0.010759,0.004215,0 8 0,34.916
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,48,2931,55.580884,1,3,F2976 F2977 F2978,0.155624 0.235438 0.017244,0.007346,0 8 0,34.853
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,49,2932,55.526996,1,3,F2976 F2977 F2978,0.155624 0.235438 0.017244,0.007353,0 8 0,34.853
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,323,7792,13.616802,1,4,F7772 F7773 F7774 F7775,1.522381 0.597384 1.522381 0.597384,0.311346,4 1 4 1,33.773
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,269,7450,103.585798,1,2,F7451 F7452,0.267551 0.267551,0.005166,4 4,29.897
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,270,7450,103.585798,2,2,F7446 F7447,0.267551 0.267551,0.005166,4 4,29.897
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,271,7450,103.585798,3,2,F7442 F7443,0.267551 0.267551,0.005166,4 4,29.897
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,272,7450,103.585798,4,2,F7438 F7439,0.267551 0.267551,0.005166,4 4,29.897
245-A-10 fairchild republic stp igs_A-10_wing_rivets.step,273,7450,103.585798,5,2,F7434 F7435,0.267551 0.267551,0.005166,4 4,29.897
