face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
645,31,0,0.025401,-2.558907,8.070405,0.461205,0.000000,0.152088,0.988367
646,31,0,0.024664,-2.558907,8.069212,0.471646,0.000000,-0.000000,-1.000000
647,31,1,0.003067,-2.457512,8.384994,0.146089,0.662709,-0.725438,0.185896
648,31,1,0.002980,-2.457507,8.402807,0.145895,0.662709,0.748877,0.000000
649,31,0,0.000495,-2.451407,8.387065,0.091347,1.000000,0.000000,0.000000
650,31,0,0.025401,-2.558907,8.386442,0.170102,0.000000,-0.968701,0.248232
651,31,0,0.024664,-2.558907,8.375934,0.169938,0.000000,0.995185,-0.098017
652,31,1,0.003067,-2.457512,8.050927,0.426850,0.662709,0.040798,0.747765
653,31,1,0.002980,-2.457507,8.054212,0.409341,0.662709,0.146099,-0.734488
654,31,0,0.000495,-2.451407,7.997641,0.414139,1.000000,0.000000,0.000000
655,31,0,0.025401,-2.558907,8.074761,0.430114,0.000000,0.054478,0.998515
656,31,1,0.002980,-2.457507,8.114268,0.697636,0.662709,-0.475083,-0.578890
657,31,1,0.003067,-2.457512,8.125718,0.711283,0.662709,0.603912,0.442840
658,31,0,0.000495,-2.451407,8.082088,0.744410,1.000000,0.000000,0.000000
659,31,0,0.025401,-2.558907,8.143362,0.694930,0.000000,0.806423,0.591339
660,31,0,0.024664,-2.558907,8.130160,0.678693,0.000000,-0.634393,-0.773010
661,31,0,0.025401,-2.558907,8.124458,0.669865,0.000000,0.744579,0.667535
662,31,1,0.003067,-2.457512,8.105297,0.684410,0.662709,0.557598,0.499902
663,31,1,0.002980,-2.457507,8.095239,0.669707,0.662709,-0.416054,-0.622669
664,31,0,0.000495,-2.451407,8.058630,0.713101,1.000000,0.000000,0.000000
665,31,1,0.003067,-2.457512,8.657412,0.705067,0.662709,0.316514,-0.678702
666,31,1,0.002980,-2.457507,8.646261,0.718960,0.662709,-0.475083,0.578890
667,31,0,0.000495,-2.451407,8.698415,0.741396,1.000000,0.000000,0.000000
668,31,0,0.025401,-2.558907,8.637931,0.690953,0.000000,0.422651,-0.906293
