face_id,solid_index,surface_type,area,center_x,center_y,center_z,normal_x,normal_y,normal_z
87,5,0,2.026047,-17.997692,4.558298,-83.222280,0.000000,0.000000,-1.000000
88,5,6,636.421747,9.735423,-9.841004,13.549763,0.518958,-0.843585,0.138012
89,5,0,223.169633,-0.670812,-4.479905,29.290147,0.000000,0.000000,1.000000
90,5,0,33.771601,4.432855,-4.785737,29.290147,0.000000,0.000000,1.000000
91,5,0,323.127704,-0.000661,-9.184044,-300.000000,0.000000,0.000000,-1.000000
92,5,6,29855.734385,-0.015411,0.681064,-143.088625,0.000000,-0.999536,0.030447
93,5,0,645.135238,0.000090,-1.103393,-0.500000,0.000000,0.000000,-1.000000
94,5,0,285.982564,0.000422,-9.139036,-299.500000,0.000000,0.000000,1.000000
95,5,0,6.015516,-5.434410,5.817226,-0.250000,1.000000,0.000000,0.000000
96,5,0,0.786266,-4.484669,6.837446,0.000000,0.000000,0.000000,1.000000
97,5,0,5.434410,0.054258,11.820398,0.250000,0.000000,-1.000000,0.000000
98,5,0,6.015516,-5.380152,5.804882,0.250000,1.000000,0.000000,0.000000
99,5,0,5.434410,0.054258,-0.210633,0.250000,0.000000,1.000000,0.000000
100,5,0,635.464950,-0.011142,-1.300326,0.500000,0.000000,0.000000,1.000000
101,5,6,592.609539,9.414190,-9.531897,13.578370,-0.514463,0.846392,-0.137654
102,5,0,203.510718,-0.735637,-4.418623,28.790147,0.000000,0.000000,-1.000000
103,5,0,33.771601,4.432855,-4.785737,28.790147,0.000000,0.000000,-1.000000
104,5,0,0.786266,4.538927,4.784663,0.000000,0.000000,0.000000,1.000000
105,5,0,5.434410,-0.000000,11.832741,-0.250000,0.000000,-1.000000,0.000000
106,5,0,5.434410,-0.000000,-0.198290,-0.250000,0.000000,1.000000,0.000000
107,5,6,1038.742660,-9.983509,-3.461122,13.290277,0.400769,0.916178,0.001440
108,5,0,26.550289,0.003499,4.158671,23.475238,0.000000,1.000000,0.000000
109,5,0,9.493956,-10.913612,7.244784,11.768124,1.000000,0.000000,0.000000
110,5,0,33.146714,-0.002800,10.019755,9.142345,0.000000,-1.000000,0.000000
111,5,0,6.015516,5.434410,5.817226,-0.250000,-1.000000,0.000000,0.000000
112,5,0,9.475233,10.913886,7.247204,11.761646,-1.000000,0.000000,0.000000
113,5,6,636.421446,-9.735417,-9.841006,13.549778,-0.518959,-0.843584,0.138012
114,5,0,6.015516,5.488668,5.804882,0.250000,-1.000000,0.000000,0.000000
115,5,0,2.044248,-17.990158,4.555686,-79.448971,0.000000,0.000000,1.000000
116,5,0,2.898090,1.047741,-6.472245,-1.127192,0.000000,0.000000,1.000000
117,5,0,24.791695,-13.442717,-6.472264,-125.085666,-1.000000,0.000000,0.000000
118,5,0,0.532324,-17.538643,7.679622,-77.835637,0.000000,-1.000000,0.000000
119,5,0,2.027259,-17.981183,4.558322,-76.222280,0.000000,0.000000,-1.000000
120,5,0,2.026662,17.988990,4.558261,-79.448971,0.000000,0.000000,1.000000
121,5,1,0.881239,-17.800471,1.824459,-76.623396,0.000000,0.697719,-0.716372
122,5,0,6924.364891,0.540486,-6.522264,-126.524586,0.000000,-1.000000,0.000000
123,5,0,3.089374,2.004159,-6.472245,-249.044139,0.000000,0.000000,-1.000000
124,5,1,0.881680,17.801871,1.824479,-79.047883,0.000000,0.697719,0.716372
125,5,1,0.890402,-17.636268,7.281595,-76.623568,0.000000,-0.707107,-0.707107
126,5,0,6943.906876,0.579895,-6.422264,-126.531678,0.000000,1.000000,0.000000
127,5,1,0.881680,-17.801874,1.824479,-79.047883,0.000000,0.697719,0.716372
