model,role,original_brep_valid,simplified_brep_valid,relative_deflection,angular_deflection_rad,mesh_repeats,original_face_count,simplified_face_count,reduction_face_count_percent,original_mesh_node_count,simplified_mesh_node_count,reduction_mesh_node_count_percent,original_mesh_triangle_count,simplified_mesh_triangle_count,reduction_mesh_triangle_count_percent,original_mesh_elapsed_seconds_median,simplified_mesh_elapsed_seconds_median,reduction_mesh_elapsed_seconds_median_percent
109-ww1 standard E-1 aircraft,rivet and decal removal,True,True,0.0005,0.5,5,1244,986,20.739549839228296,47808,46811,2.085425033467202,58692,58357,0.5707762557077626,0.4108112999238074,0.34104679990559816,16.982127811758915
DC-10,complex topology,True,True,0.0005,0.5,5,287,170,40.76655052264808,27041,20608,23.78980067305203,41914,35496,15.312306150689507,0.22150139999575913,0.09434890002012253,57.40482903406979
747-400,surface-feature removal,True,True,0.0005,0.5,5,1432,1132,20.949720670391063,59108,37195,37.072815862489,76017,48959,35.594669613375956,0.6227456999476999,0.3372852997854352,45.83899980140185
AULIRA 2,embedded-window reconstruction,True,True,0.0005,0.5,5,370,136,63.24324324324324,16178,7824,51.63802695017925,24519,12589,48.65614421469065,0.1378071999642998,0.0735232001170516,46.647780278462626
Air Plane Idea A,decal-only removal,False,False,0.0005,0.5,5,27366,27278,0.32156690784184755,443054,433184,2.227719420206115,438769,424893,3.1624841317413037,3.6363599998876452,3.5457804000470787,2.49094148663403
Airbus,embedded-window reconstruction,True,True,0.0005,0.5,5,1775,686,61.352112676056336,69556,43042,38.11892575766289,95610,63505,33.579123522644075,0.6107141999527812,0.25471040001139045,58.293028059428785
Airplane body,embedded-window reconstruction,True,False,0.0005,0.5,5,708,450,36.440677966101696,34721,27114,21.90893119437804,51605,42401,17.83548105803701,0.27883980004116893,0.19252640008926392,30.95447634776721
Cessna Citation 2,rivet removal,True,True,0.0005,0.5,5,312,231,25.96153846153846,13756,12838,6.673451584763012,19696,19037,3.3458570268074737,0.09234210010617971,0.0724507998675108,21.540879204389846
Gulfstream G280 v17,embedded-window reconstruction,True,True,0.0005,0.5,5,668,277,58.532934131736525,15858,10244,35.40168999873881,17941,14378,19.85953960202887,0.18157500005327165,0.10349030001088977,43.00410299847054
